id,simulation_id,frequency,G_prime,G_double_prime
135,1,0.002453087,0.0275792,45.20871
136,1,0.00204424,0.01915225,37.67394
137,1,0.001703533,0.01330019,31.39496
138,1,0.001419611,0.009236246,26.16247
139,1,0.001183009,0.006414063,21.80206
140,1,0.0009858408,0.004454212,18.16838
141,1,0.000821534,0.003093203,15.14032
142,1,0.0006846117,0.002148058,12.61693
143,1,0.0005705097,0.001491707,10.51411
144,1,0.0004754248,0.001035908,8.76176
145,1,0.0003961873,0.0007193805,7.301467
146,1,0.0003301561,0.0004995698,6.084556
147,1,0.0002751301,0.0003469235,5.070463
148,1,0.0002292751,0.0002409191,4.225386
149,1,0.0001910626,0.0001673049,3.521155
150,1,0.0001592188,0.000116184,2.934296
151,1,0.0001326823,8.068332e-05,2.445246
152,1,0.0001105686,5.603008e-05,2.037705
153,1,9.214051e-05,3.890978e-05,1.698088
154,1,7.678376e-05,2.702068e-05,1.415073
155,1,6.398646e-05,1.876436e-05,1.179228
156,1,5.332205e-05,1.303081e-05,0.9826897
157,1,4.443504e-05,9.049171e-06,0.8189081
158,1,3.70292e-05,6.284146e-06,0.6824234
159,1,3.085767e-05,4.363991e-06,0.5686862
160,1,2.571472e-05,3.030549e-06,0.4739051
161,1,2.142894e-05,2.104548e-06,0.394921
162,1,1.785745e-05,1.461492e-06,0.3291008
163,1,1.488121e-05,1.014925e-06,0.2742507
164,1,1.240101e-05,7.048088e-07,0.2285422
165,1,1.033417e-05,4.894506e-07,0.1904518
166,1,8.611809e-06,3.398962e-07,0.1587099
167,1,7.176508e-06,2.360391e-07,0.1322582
168,1,5.980423e-06,1.63916e-07,0.1102152
169,1,4.983686e-06,1.138306e-07,0.09184599
170,1,4.153072e-06,7.9049e-08,0.07653833
171,1,3.460893e-06,5.489514e-08,0.06378194
172,1,2.884077e-06,3.812163e-08,0.05315162
173,1,2.403398e-06,2.647335e-08,0.04429301
174,1,2.002832e-06,1.838427e-08,0.03691084
175,1,1.669026e-06,1.276686e-08,0.03075904
176,1,1.390855e-06,8.865872e-09,0.02563253
177,1,1.159046e-06,6.156855e-09,0.02136044
178,1,9.658717e-07,4.275594e-09,0.01780037
179,2,100000000.0,10461540.0,9373443.0
180,2,90909090.0,9980971.0,8937853.0
181,2,82644630.0,9522593.0,8520447.0
182,2,75131480.0,9085403.0,8122734.0
183,2,68301350.0,8668429.0,7744429.0
184,2,62092130.0,8270706.0,7381158.0
185,2,56447390.0,7891387.0,7036125.0
186,2,51315810.0,7529609.0,6706014.0
187,2,46650740.0,7184572.0,6390060.0
188,2,42409760.0,6855538.0,6089073.0
189,2,38554330.0,6541780.0,5801341.0
190,2,35049390.0,6242622.0,5526000.0
191,2,31863080.0,5957432.0,5262729.0
192,2,28966440.0,5685609.0,5010653.0
193,2,26333130.0,5426606.0,4770169.0
194,2,23939200.0,5179885.0,4538979.0
195,2,21762910.0,4944974.0,4317629.0
196,2,19784470.0,4721426.0,4105114.0
197,2,17985880.0,4508848.0,3902112.0
198,2,16350800.0,4306857.0,3706481.0
199,2,14864360.0,4115139.0,3519026.0
200,2,13513060.0,3933402.0,3338708.0
201,2,12284600.0,3761393.0,3165039.0
202,2,11167820.0,3598902.0,2998640.0
