id,simulation_id,time,G_t
495,2,68910.12,0.0
496,2,82692.14,0.0
497,2,99230.57,0.0
498,2,119076.7,0.0
499,2,142892.0,0.0
500,2,171470.4,0.0
501,2,205764.5,0.0
502,2,246917.4,0.0
503,2,296300.9,0.0
504,2,355561.1,0.0
505,2,426673.3,0.0
506,2,512007.9,0.0
507,2,614409.5,0.0
508,2,737291.4,0.0
509,2,884749.7,0.0
510,2,1061700.0,0.0
511,2,1274040.0,0.0
512,2,1528848.0,0.0
513,2,1834617.0,0.0
514,2,2201540.0,0.0
515,2,2641849.0,0.0
516,2,3170218.0,0.0
517,2,3804262.0,0.0
518,2,4565114.0,0.0
519,2,5478137.0,0.0
520,2,6573764.0,0.0
521,2,7888517.0,0.0
522,2,9466221.0,0.0
523,2,11359460.0,0.0
524,2,13631360.0,0.0
525,2,16357630.0,0.0
526,2,19629160.0,0.0
527,2,23554990.0,0.0
528,2,28265980.0,0.0
529,2,33919180.0,0.0
530,2,40703020.0,0.0
531,2,48843620.0,0.0
532,2,58612340.0,0.0
533,2,70334810.0,0.0
534,2,84401780.0,0.0
535,2,101282100.0,0.0
536,2,121538600.0,0.0
537,2,145846300.0,0.0
538,2,175015500.0,0.0
539,2,210018600.0,0.0
540,2,252022400.0,0.0
541,2,302426800.0,0.0
542,2,362912200.0,0.0
543,2,435494600.0,0.0
544,2,522593500.0,0.0
545,2,627112300.0,0.0
546,2,752534700.0,0.0
547,2,903041700.0,0.0
548,2,1083650000.0,0.0
549,2,1300380000.0,0.0
550,2,1560456000.0,0.0
551,2,1872547000.0,0.0
552,2,2247057000.0,0.0
553,2,2696468000.0,0.0
554,2,3235762000.0,0.0
555,2,3882914000.0,0.0
556,2,4659497000.0,0.0
557,2,5591396000.0,0.0
558,2,6709675000.0,0.0
559,2,8051610000.0,0.0
560,2,9661932000.0,0.0
561,2,11594320000.0,0.0
562,2,13913180000.0,0.0
563,2,16695820000.0,0.0
564,2,20034980000.0,0.0
565,2,24041980000.0,0.0
566,2,28850370000.0,0.0
567,2,34620450000.0,0.0
568,2,41544540000.0,0.0
569,2,49853450000.0,0.0
570,2,59824140000.0,0.0
571,2,71788960000.0,0.0
572,2,86146760000.0,0.0
573,2,103376100000.0,0.0
574,2,124051300000.0,0.0
575,2,148861600000.0,0.0
576,2,178633900000.0,0.0
577,2,214360700000.0,0.0
578,2,257232800000.0,0.0
579,2,308679400000.0,0.0
580,2,370415300000.0,0.0
581,2,444498300000.0,0.0
582,2,533398000000.0,0.0
583,2,640077600000.0,0.0
584,2,768093100000.0,0.0
585,2,921711800000.0,0.0
586,2,1106054000000.0,0.0
587,2,1327265000000.0,0.0
588,2,1592718000000.0,0.0
589,2,1911262000000.0,0.0
590,2,2293514000000.0,0.0
591,2,2752217000000.0,0.0
592,2,3302660000000.0,0.0
593,2,3963192000000.0,0.0
594,2,4755830000000.0,0.0
595,2,5706996000000.0,0.0
596,2,6848396000000.0,0.0
597,2,8218075000000.0,0.0
598,2,9861690000000.0,0.0
599,2,11834030000000.0,0.0
600,2,14200830000000.0,0.0
601,3,3e-11,87038430.0
602,3,3.6e-11,85364890.0
603,3,4.32e-11,83436170.0
604,3,5.184e-11,81230190.0
605,3,6.2208e-11,78729500.0
606,3,7.46496e-11,75924050.0
607,3,8.957952e-11,72814380.0
608,3,1.074954e-10,69414780.0
609,3,1.289945e-10,65756030.0
