time,modulu
0.0002322147,1708361.0
0.0002786576,1699202.0
0.0003343891,1689679.0
0.000401267,1679779.0
0.0004815203,1669490.0
0.0005778244,1658802.0
0.0006933893,1647704.0
0.0008320672,1636185.0
0.0009984806,1624240.0
0.001198177,1611861.0
0.001437812,1599045.0
0.001725374,1585791.0
0.002070449,1572102.0
0.002484539,1557983.0
0.002981447,1543444.0
0.003577736,1528497.0
0.004293284,1513160.0
0.005151941,1497455.0
0.006182329,1481407.0
0.007418794,1465045.0
0.008902553,1448402.0
0.01068306,1431515.0
0.01281968,1414422.0
0.01538361,1397163.0
0.01846033,1379781.0
0.0221524,1362318.0
0.02658288,1344817.0
0.03189946,1327320.0
0.03827935,1309867.0
0.04593522,1292498.0
0.05512226,1275249.0
0.06614672,1258152.0
0.07937606,1241238.0
0.09525127,1224533.0
0.1143015,1208061.0
0.1371618,1191842.0
0.1645942,1175890.0
0.197513,1160219.0
0.2370156,1144838.0
0.2844188,1129753.0
0.3413025,1114967.0
0.409563,1100480.0
0.4914756,1086292.0
0.5897708,1072398.0
0.7077249,1058793.0
0.8492699,1045471.0
1.019124,1032425.0
1.222949,1019645.0
1.467538,1007124.0
1.761046,994852.8
2.113255,982821.3
2.535906,971020.8
3.043088,959442.3
3.651705,948076.8
4.382046,936915.7
5.258455,925950.7
6.310146,915173.8
7.572176,904577.6
9.086611,894155.0
10.90393,883899.0
13.08472,873803.1
15.70166,863861.4
18.842,854067.8
22.6104,844416.7
27.13247,834903.0
32.55897,825521.5
39.07076,816267.6
46.88492,807136.8
56.2619,798125.0
67.51428,789228.4
81.01714,780443.3
97.22056,771766.5
116.6647,763194.9
139.9976,754725.3
167.9971,746355.1
201.5966,738081.8
241.9159,729902.7
290.299,721815.7
348.3589,713818.6
418.0306,705909.1
501.6367,698085.4
601.9641,690345.2
722.3569,682686.7
866.8283,675107.7
1040.194,667606.2
1248.233,660180.0
1497.879,652826.9
1797.455,645544.4
2156.946,638330.2
2588.335,631181.5
3106.003,624095.7
3727.203,617069.7
4472.644,610100.1
5367.172,603183.7
6440.607,596316.9
7728.728,589495.9
9274.474,582717.2
11129.37,575977.4
13355.24,569273.4
16026.29,562602.3
19231.55,555962.4
23077.86,549352.4
27693.43,542772.2
33232.12,536222.5
39878.54,529704.8
47854.25,523220.4
57425.1,516770.4
68910.12,510354.2
82692.14,503969.5
99230.57,497611.8
119076.7,491275.8
142892.0,484956.3
171470.4,478650.4
205764.5,472358.3
246917.4,466083.3
296300.9,459830.5
355561.1,453605.0
426673.3,447410.8
512007.9,441248.8
614409.5,435117.7
737291.4,429014.1
884749.7,422934.0
1061700.0,416874.3
1274040.0,410833.0
1528848.0,404810.1
1834617.0,398807.0
2201540.0,392826.2
2641849.0,386870.6
3170218.0,380943.1
3804262.0,375045.5
4565114.0,369178.7
5478137.0,363341.0
6573764.0,357527.3
7888517.0,351728.6
9466221.0,345932.7
11359460.0,340126.2
13631360.0,334296.8
16357630.0,328436.2
19629160.0,322540.8
23554990.0,316610.4
28265980.0,310646.7
33919180.0,304650.5
40703020.0,298620.5
48843620.0,292553.5
58612340.0,286445.6
70334810.0,280292.9
84401780.0,274093.4
101282100.0,267847.9
121538600.0,261561.2
145846300.0,255242.3
175015500.0,248903.7
210018600.0,242559.3
252022400.0,236222.5
302426800.0,229904.5
362912200.0,223612.9
435494600.0,217349.9
522593500.0,211111.3
627112300.0,204885.1
752534700.0,198652.9
903041700.0,192393.7
1083650000.0,186090.0
1300380000.0,179734.5
1560456000.0,173334.9
1872547000.0,166914.5
2247057000.0,160508.4
2696468000.0,154157.4
3235762000.0,147901.8
3882914000.0,141775.2
4659497000.0,135802.0
5591396000.0,129996.3
6709675000.0,124365.4
8051610000.0,118913.1
9661932000.0,113644.2
11594320000.0,108566.4
13913180000.0,103689.9
16695820000.0,99024.56
20034980000.0,94575.26
24041980000.0,90338.39
28850370000.0,86299.91
34620450000.0,82436.62
41544540000.0,78720.49
49853450000.0,75125.2
59824140000.0,71632.47
71788960000.0,68235.28
86146760000.0,64936.6
103376100000.0,61744.37
124051300000.0,58665.37
148861600000.0,55700.61
178633900000.0,52843.57
214360700000.0,50081.32
257232800000.0,47397.47
308679400000.0,44775.49
370415300000.0,42201.06
444498300000.0,39663.37
533398000000.0,37155.72
640077600000.0,34675.68
768093100000.0,32225.17
921711800000.0,29810.13
1106054000000.0,27440.09
1327265000000.0,25127.72
1592718000000.0,22888.22
1911262000000.0,20738.22
2293514000000.0,18694.13
2752217000000.0,16770.1
3302660000000.0,14976.39
3963192000000.0,13318.53
4755830000000.0,11797.42
5706996000000.0,10410.19
6848396000000.0,9151.244
8218075000000.0,8013.247
9861690000000.0,6987.941
11834030000000.0,6066.887
14200830000000.0,5242.147
