Time,Relaxation Modulus
0.002070449,804632.7
0.002484539,767952.3
0.002981447,731122.8
0.003577736,694318.6
0.004293284,657727.5
0.005151941,621544.0
0.006182329,585960.8
0.007418794,551159.2
0.008902553,517301.3
0.01068306,484525.3
0.01281968,452945.7
0.01538361,422658.8
0.01846033,393746.7
0.0221524,366277.4
0.02658288,340298.2
0.03189946,315826.1
0.03827935,292841.2
0.04593522,271288.9
0.05512226,251090.1
0.06614672,232155.6
0.07937606,214398.4
0.09525127,197738.1
0.1143015,182099.9
0.1371618,167410.4
0.1645942,153595.3
0.197513,140581.8
0.2370156,128302.6
0.2844188,116701.0
0.3413025,105733.0
0.409563,95368.09
0.4914756,85587.51
0.5897708,76382.86
0.7077249,67753.89
0.8492699,59706.19
1.019124,52248.58
1.222949,45390.41
1.467538,39138.69
1.761046,33495.37
2.113255,28454.68
2.535906,24001.38
3.043088,20110.24
3.651705,16746.82
4.382046,13869.37
5.258455,11431.13
6.310146,9382.763
7.572176,7674.568
9.086611,6258.292
10.90393,5088.779
13.08472,4125.383
15.70166,3332.916
18.842,2681.885
22.6104,2147.984
27.13247,1711.19
32.55897,1354.855
39.07076,1065.056
46.88492,830.174
56.2619,640.585
67.51428,488.3861
81.01714,367.1026
97.22056,271.3942
116.6647,196.7893
139.9976,139.4872
167.9971,96.24232
201.5966,64.29834
241.9159,41.32706
290.299,25.35697
348.3589,14.71096
418.0306,7.972011
501.6367,3.971565
601.9641,1.781798
722.3569,0.7013595
866.8283,0.2346206
1040.194,0.06421736
1248.233,0.01375584
1497.879,0.002189433
1797.455,0.0002436524
2156.946,1.7645e-05
2588.335,7.635358e-07
3106.003,1.782931e-08
3727.203,1.988235e-10
4472.644,9.141403e-13
5367.172,1.451731e-15
6440.607,6.4328419999999995e-19
7728.728,6.150465000000001e-23
9274.474,9.313576e-28
11129.37,1.541065e-33
13355.24,1.785416e-40
16026.29,8.49633e-49
19231.55,8.762406e-59
23077.86,9.097338000000001e-71
27693.43,3.7897419999999995e-85
33232.12,2.100666e-102
39878.54,4.120464e-123
47854.25,5.8361909999999996e-148
57425.1,8.863646e-178
68910.12,1.463669e-213
82692.14,1.686088e-256
99230.57,5.019216e-308
119076.7,0.0
142892.0,0.0
171470.4,0.0
205764.5,0.0
246917.4,0.0
296300.9,0.0
355561.1,0.0
426673.3,0.0
512007.9,0.0
614409.5,0.0
737291.4,0.0
884749.7,0.0
1061700.0,0.0
1274040.0,0.0
1528848.0,0.0
1834617.0,0.0
2201540.0,0.0
2641849.0,0.0
3170218.0,0.0
3804262.0,0.0
4565114.0,0.0
5478137.0,0.0
6573764.0,0.0
7888517.0,0.0
9466221.0,0.0
11359460.0,0.0
13631360.0,0.0
16357630.0,0.0
19629160.0,0.0
23554990.0,0.0
28265980.0,0.0
33919180.0,0.0
40703020.0,0.0
48843620.0,0.0
58612340.0,0.0
70334810.0,0.0
84401780.0,0.0
101282100.0,0.0
121538600.0,0.0
145846300.0,0.0
175015500.0,0.0
210018600.0,0.0
252022400.0,0.0
302426800.0,0.0
362912200.0,0.0
435494600.0,0.0
522593500.0,0.0
627112300.0,0.0
752534700.0,0.0
903041700.0,0.0
1083650000.0,0.0
1300380000.0,0.0
1560456000.0,0.0
1872547000.0,0.0
2247057000.0,0.0
2696468000.0,0.0
3235762000.0,0.0
3882914000.0,0.0
4659497000.0,0.0
5591396000.0,0.0
6709675000.0,0.0
8051610000.0,0.0
9661932000.0,0.0
11594320000.0,0.0
13913180000.0,0.0
16695820000.0,0.0
20034980000.0,0.0
24041980000.0,0.0
28850370000.0,0.0
34620450000.0,0.0
41544540000.0,0.0
49853450000.0,0.0
59824140000.0,0.0
71788960000.0,0.0
86146760000.0,0.0
103376100000.0,0.0
124051300000.0,0.0
148861600000.0,0.0
178633900000.0,0.0
214360700000.0,0.0
257232800000.0,0.0
308679400000.0,0.0
370415300000.0,0.0
444498300000.0,0.0
533398000000.0,0.0
640077600000.0,0.0
768093100000.0,0.0
921711800000.0,0.0
1106054000000.0,0.0
1327265000000.0,0.0
1592718000000.0,0.0
1911262000000.0,0.0
2293514000000.0,0.0
2752217000000.0,0.0
3302660000000.0,0.0
3963192000000.0,0.0
4755830000000.0,0.0
5706996000000.0,0.0
6848396000000.0,0.0
8218075000000.0,0.0
9861690000000.0,0.0
11834030000000.0,0.0
14200830000000.0,0.0
