Angular Frequency,Storage Modulus,Loss Modulus
2.199648,60940.16,53321.31
2.419613,63043.01,55550.96
2.661574,65217.67,58037.16
2.927732,67490.88,60797.34
3.220505,69892.55,63846.72
3.542556,72455.62,67197.73
3.896811,75215.81,70859.18
4.286492,78211.17,74835.49
4.715141,81481.31,79125.98
5.186656,85066.4,83724.28
5.705321,89006.0,88617.96
6.275853,93337.67,93788.48
6.903439,98095.52,99211.59
7.593782,103308.9,104858.1
8.353161,109001.5,110694.8
9.188477,115190.1,116686.5
10.10732,121884.9,122796.9
11.11806,129089.4,128990.5
12.22986,136801.1,135234.1
13.45285,145012.2,141497.6
14.79813,153711.3,147755.2
16.27795,162883.8,153985.1
17.90574,172513.9,160170.2
19.69632,182585.0,166297.5
21.66595,193080.7,172357.9
23.83254,203985.6,178345.4
26.2158,215285.6,184256.6
28.83738,226968.3,190090.1
31.72111,239022.7,195846.2
34.89323,251439.8,201525.8
38.38255,264212.2,207130.7
42.2208,277334.1,212662.5
46.44288,290801.1,218122.7
51.08717,304610.0,223512.5
56.19589,318758.7,228832.1
61.81548,333245.9,234081.2
67.99702,348071.0,239258.2
74.79673,363233.9,244360.6
82.2764,378734.9,249384.4
90.50404,394574.0,254324.7
99.55444,410751.4,259174.8
109.5099,427267.0,263927.0
120.4609,444119.9,268571.9
132.507,461308.8,273099.0
145.7577,478831.1,277496.2
160.3334,496683.3,281750.2
176.3668,514860.4,285846.5
194.0034,533355.9,289769.5
213.4038,552161.4,293502.6
234.7442,571266.8,297028.5
258.2186,590659.4,300329.3
284.0404,610324.7,303386.8
312.4445,630245.5,306182.9
343.6889,650402.2,308699.7
378.0578,670772.9,310920.0
415.8636,691333.1,312827.7
457.45,712055.9,314407.9
503.195,732912.5,315647.5
553.5145,753871.8,316535.6
608.8659,774901.1,317063.5
669.7525,795966.7,317225.3
736.7278,817033.4,317017.9
810.4005,838066.0,316441.4
891.4406,859029.0,315498.9
980.5847,879887.4,314196.6
1078.643,900607.0,312544.0
1186.507,921155.1,310553.2
1305.158,941549.6,311144.0
1435.674,961674.1,308814.5
1579.241,981542.9,306227.5
1737.166,1001133.0,303407.2
1910.882,1020423.0,300379.2
2101.97,1039397.0,297170.3
2312.167,1058041.0,293808.2
2543.384,1076342.0,290321.1
2797.722,1094294.0,286737.3
3077.495,1111892.0,283084.9
3385.244,1129132.0,279391.8
3723.769,1146016.0,275685.2
4096.145,1162546.0,271991.5
4505.76,1178729.0,268336.3
4956.336,1194570.0,264744.1
5451.97,1210080.0,261238.6
5997.167,1225270.0,257842.1
6596.883,1240152.0,254576.2
7256.572,1254743.0,251460.9
7982.229,1269058.0,248515.3
8780.452,1283116.0,245757.1
9658.497,1296936.0,243202.8
10624.35,1310541.0,240866.9
11686.78,1323954.0,238762.3
12855.46,1337199.0,236899.7
14141.01,1350303.0,235287.1
15555.11,1363293.0,233929.4
17110.62,1376197.0,232828.2
18821.68,1389043.0,231981.0
20703.85,1401855.0,231381.0
22774.23,1414660.0,231017.3
25051.65,1427475.0,230875.1
27556.82,1440315.0,230936.8
30312.5,1453188.0,231183.4
33343.75,1466094.0,231596.5
36678.13,1479024.0,232161.4
40345.94,1491964.0,232869.2
44380.53,1504892.0,233719.7
48818.59,1517787.0,234723.1
53700.44,1530626.0,235900.7
59070.49,1543392.0,237284.1
64977.54,1556073.0,238913.7
71475.29,1568669.0,240835.7
78622.82,1581188.0,243098.9
86485.1,1593649.0,245751.1
95133.61,1606078.0,248837.0
104647.0,1618504.0,252396.3
115111.7,1630963.0,256462.8
126622.8,1643487.0,261065.3
139285.1,1656105.0,266229.5
153213.6,1668842.0,271979.7
168535.0,1681721.0,278342.3
185388.5,1694756.0,285347.6
203927.3,1707962.0,293032.2
224320.1,1721351.0,301439.7
246752.1,1734937.0,310621.2
271427.3,1748736.0,320634.7
298570.0,1762767.0,331544.6
328427.0,1777050.0,343421.2
361269.7,1791611.0,356340.3
397396.7,1806474.0,370383.9
437136.4,1821670.0,385641.2
480850.0,1837228.0,402209.3
528935.0,1853181.0,420194.5
581828.5,1869566.0,439713.5
640011.4,1886423.0,460894.6
704012.5,1903799.0,483878.6
774413.8,1921745.0,508820.2
851855.1,1940322.0,535889.4
937040.6,1959602.0,565272.4
1030745.0,1979667.0,597173.7
1133819.0,2000618.0,631816.4
1247201.0,2022574.0,669443.2
1371921.0,2045682.0,710942.3
1509113.0,2070116.0,755404.7
1660025.0,2096087.0,803696.3
1826027.0,2123854.0,856125.3
2008630.0,2153723.0,913899.0
2209493.0,2186050.0,975625.4
2430442.0,2221258.0,1043467.0
2673486.0,2259815.0,1115679.0
2940835.0,2302259.0,1194690.0
3234918.0,2349159.0,1279629.0
3558410.0,2401121.0,1370617.0
3914251.0,2458762.0,1467697.0
4305676.0,2522695.0,1570837.0
4736244.0,2593518.0,1681687.0
5209868.0,2671762.0,1798549.0
5730855.0,2757909.0,1921236.0
6303941.0,2852370.0,2049535.0
6934335.0,2955503.0,2185360.0
7627768.0,3067572.0,2326588.0
8390545.0,3188796.0,2473081.0
9229600.0,3319355.0,2624751.0
10152560.0,3459424.0,2784006.0
11167820.0,3609149.0,2951068.0
12284600.0,3768636.0,3121195.0
13513060.0,3938092.0,3299523.0
14864360.0,4117682.0,3483831.0
16350800.0,4307652.0,3677039.0
17985880.0,4508236.0,3876925.0
19784470.0,4719731.0,4083870.0
21762910.0,4942500.0,4300989.0
23939200.0,5176900.0,4526078.0
26333130.0,5423378.0,4762343.0
28966440.0,5682348.0,5004854.0
31863080.0,5954394.0,5262373.0
35049390.0,6240010.0,5529986.0
38554330.0,6539786.0,5808279.0
42409760.0,6854377.0,6100639.0
46650740.0,7184427.0,6404933.0
51315810.0,7530676.0,6724612.0
56447390.0,7893878.0,7060373.0
62092130.0,8274775.0,7407354.0
68301350.0,8674293.0,7774693.0
75131480.0,9093263.0,8157572.0
82644630.0,9532647.0,8559612.0
90909090.0,9993428.0,8981664.0
100000000.0,10476610.0,9421811.0
